Country,Mathematics performance (PISA),Ladder score,Mathematics Anxiety,Healthy life expectancy,Freedom to make life choices,suicide mortality rate
Albania,368.22172,5.277,0.01,0.48,0.549,2.75
Argentina,377.5290286,6.024,0.53,0.427,0.587,7.94
Australia*,487.0842535,7.095,0.17,0.532,0.677,13.08
Austria,487.267499,7.097,0.03,0.535,0.63,14.51
Belgium,489.4868167,6.859,0.21,0.528,0.59,18.36
Brazil,378.6913669,6.125,0.53,0.387,0.558,7.59
Brunei Darussalam,442.0931045,0,0.67,0.48,0,3.05
Bulgaria,417.3039004,5.466,0.20,0.408,0.557,9.51
Cambodia,336.3960413,4.393,0.50,0.283,0.768,4.5
Canada*,496.9478944,6.961,0.16,0.541,0.656,9.44
Chile,411.6965707,6.334,0.59,0.511,0.546,7.69
China,547.0941644,5.818,0.00,0.468,0.666,8.95
Colombia,382.6968351,5.63,0.54,0.486,0.562,4.96
Costa Rica,384.5760411,6.609,0.52,0.503,0.683,8.06
Croatia,463.1051894,6.125,0.11,0.475,0.5,15.68
Czechia,486.9992079,6.845,0.00,0.477,0.693,13.33
Denmark*,489.2738769,7.586,-0.12,0.537,0.734,10.46
Dominican Republic,339.1072467,5.569,0.51,0.351,0.623,4.2
El Salvador,343.469101,6.122,0.59,0.607,0.666,7.63
Estonia,509.9469532,6.455,0.01,0.494,0.728,14.94
Finland,484.1392256,7.804,-0.29,0.535,0.772,14.57
France,473.9444184,6.661,0.13,0.566,0.582,16.58
Georgia,390.0242203,5.109,0.04,0.366,0.539,5.1
Germany,474.8264539,6.892,0.10,0.539,0.618,12.9
Greece,430.1463219,5.931,0.26,0.535,0.248,4.68
Guatemala,344.1994881,6.15,0.68,0.31,0.631,4.94
"Hong Kong, China",540.3518012,5.308,0.23,0.702,0.407,0
Hungary,472.7761224,6.041,-0.21,0.435,0.501,16.45
Iceland,458.8964498,7.53,0.06,0.559,0.738,11.91
Indonesia,365.5252539,5.277,0.00,0.314,0.663,1.2
Ireland*,491.6482796,6.911,0.21,0.539,0.656,8.55
Israel,457.8966666,7.473,0.00,0.577,0.569,4.37
Italy,471.2594755,6.405,0.39,0.559,0.438,6.99
Jamaica*,377.4169392,5.703,0.47,0.411,0.587,1.69
Japan,535.579306,6.129,0.33,0.622,0.556,17.43
Jordan,361.2280284,4.12,0.23,0.438,0.517,0.6
Kazakhstan,425.4391288,6.144,0.18,0.389,0.628,14.6
Korea,527.3025018,0,-0.05,0.603,0.446,27.53
Kosovo,354.9624438,6.368,0.26,0.372,0.639,0
Latvia*,483.1594552,6.213,0.23,0.405,0.58,15.21
Lithuania,475.146762,6.763,0.18,0.432,0.487,22.12
Malaysia,408.6874322,6.012,0.50,0.385,0.659,5.65
Malta,466.0161129,6.3,0.37,0.547,0.671,6.47
Mexico,395.0299192,6.33,0.54,0.389,0.632,6.95
Moldova,414.1980632,5.819,0.36,0.375,0.61,14.14
Mongolia,424.5931285,5.84,0.32,0.244,0.425,18.5
Montenegro,405.6011733,5.722,0.16,0.424,0.563,11.31
Morocco,364.7662407,4.903,0.41,0.337,0.54,2.91
Netherlands*,492.675639,7.403,-0.22,0.545,0.672,11.5
New Zealand*,479.0741935,7.123,0.22,0,0,11.92
North Macedonia,388.5755068,5.254,0.17,0,0,5.78
Norway,468.4499499,7.315,0.17,0.544,0.752,13.19
Panama*,356.5735039,6.265,0.61,0.475,0.63,3.29
Paraguay,337.5397504,5.738,0.63,0.392,0.678,6.36
Peru,391.2357846,5.526,0.53,0.499,0.549,1.54
Philippines,354.7197128,5.523,0.00,0.286,0.714,3.49
Poland,488.9600538,6.26,0.26,0.477,0.511,13.67
Portugal,471.9105221,5.968,0.14,0.537,0.693,11.52
Qatar,414.1062218,0,0.19,0,0,4.7
Romania,427.7599967,6.589,0.17,0.423,0.631,9.62
Saudi Arabia,388.781607,6.463,0.11,0.351,0.682,0.95
Serbia,439.8766667,6.144,0.20,0.424,0.617,15.14
Singapore,574.6638196,6.587,0.15,0.607,0.66,8.1
Slovak Republic,463.9946185,6.469,0.24,0.472,0.494,9.91
Slovenia,484.5290086,6.65,0.20,0.532,0.707,18.85
Spain,473.140208,6.436,0.37,0.567,0.533,8.72
Sweden,481.7660654,7.395,-0.07,0.562,0.754,13.84
Switzerland,507.9905864,7.24,-0.12,0.582,0.678,14.02
Thailand,393.9453559,5.843,0.00,0.461,0.624,16.59
Turkiye,453.1517674,4.614,0.59,0.467,0.125,2.69
Ukraine,440.8453089,5.071,0.20,0.355,0.551,21.21
United Arab Emirates,431.1104766,6.571,0.14,0.401,0.745,1.71
United Kingdom*,488.9750851,6.796,0.04,0.511,0.626,9.55
United States*,464.888043,6.894,0.13,0.39,0.557,15.63
Uruguay,408.7120664,6.494,0.37,0.435,0.683,24.75
Uzbekistan,363.9353747,6.014,0.04,0.375,0.74,8.34
Vietnam,469.4024275,5.763,0.45,0.381,0.741,7.3
