Country,P_opt,Scor Silhouette P_opt,P_5,Scor Silhouette P_5
Albania,C1,0.2624434966121656,C3,0.23480598689464446
Argentina,C1,0.46937442359198495,C3,0.391616542470737
Australia*,C3,0.45781140955155336,C2,0.40898577517512497
Austria,C3,0.49582461405558514,C2,0.45550245404832435
Belgium,C3,0.4627711788382212,C5,-0.12068942190930901
Brazil,C1,0.4707509986786184,C3,0.3894569968525192
Brunei Darussalam,C2,0.04440046242551911,C4,0.04440046242551911
Bulgaria,C3,-0.09157433623190103,C5,0.0345688949188376
Cambodia,C1,0.4624115507176547,C3,0.4143174379113119
Canada*,C3,0.4137747435093301,C2,0.4352023518481708
Chile,C1,0.2840567365723769,C3,0.19050116783291798
China,C3,0.37587757894354984,C2,0.3285163040522282
Colombia,C1,0.4735394465290024,C3,0.40777833866847946
Costa Rica,C1,0.35484445239066115,C3,0.29631206138921184
Croatia,C3,0.4165963330730897,C5,0.06673354065918131
Czechia,C3,0.46212797648469356,C2,0.46546732881607783
Denmark*,C3,0.3985342727075899,C2,0.5417501798479694
Dominican Republic,C1,0.5585091222854754,C3,0.5084059516561963
El Salvador,C1,0.3409817323780793,C3,0.2913651804945051
Estonia,C3,0.4687214545943065,C2,0.43072821200481975
Finland,C3,0.3687008475621982,C2,0.4319719047605283
France,C3,0.4709330183154226,C5,-0.22929049897061257
Georgia,C1,0.2489277474274514,C3,0.19104432043724343
Germany,C3,0.47073769387105474,C2,0.3924784128361588
Greece,C3,-0.042413845027921206,C5,0.04396323121747198
Guatemala,C1,0.49418222007105533,C3,0.43750540225640777
"Hong Kong, China",C3,0.14967211213318107,C5,-0.09516370260358302
Hungary,C3,0.37364907172959005,C5,-0.1538747155602414
Iceland,C3,0.3816627243541521,C2,0.47574263796361077
Indonesia,C1,0.35374217192326707,C3,0.32979475757976734
Ireland*,C3,0.36162002506282553,C2,0.35394171251444945
Israel,C3,0.22160502771136728,C2,0.31236331266798667
Italy,C3,0.12016065030296054,C5,0.08900580057479432
Jamaica*,C1,0.5445776873160072,C3,0.49656834367851205
Japan,C3,0.3936476710713462,C5,-0.09080049939324825
Jordan,C1,0.4069449285959296,C3,0.35748656893374176
Kazakhstan,C3,0.19839091659858402,C5,0.1697884744077279
Korea,C3,0.16911319571259117,C1,0.0
Kosovo,C1,0.49055975711122807,C3,0.4602883384606368
Latvia*,C3,0.3799970631069254,C5,0.10534855905124722
Lithuania,C3,0.38583849810341714,C5,0.12106871880558541
Malaysia,C1,0.4405245929100202,C3,0.3740607700074943
Malta,C3,0.0715735636591738,C5,-0.10441870855810771
Mexico,C1,0.4525739918155554,C3,0.38094412528484234
Moldova,C3,-0.054344088075793696,C5,0.10983404320824901
Mongolia,C3,0.05758564065857347,C5,0.1954505011438178
Montenegro,C3,-0.0046262591941821285,C5,0.11482620712394281
Morocco,C1,0.5124016649767283,C3,0.45238943884064925
Netherlands*,C3,0.40662152625813325,C2,0.49678749172062253
New Zealand*,C2,0.13088311534686764,C4,0.06771714012571915
North Macedonia,C2,0.2290495505013036,C4,0.2290495505013036
Norway,C3,0.39059681696044285,C2,0.39902850402511014
Panama*,C1,0.5099060478359517,C3,0.4635950889972213
Paraguay,C1,0.5166889103331594,C3,0.463370227890751
Peru,C1,0.4552154952103741,C3,0.39965387677046604
Philippines,C1,0.3371049048558651,C3,0.3116835414078146
Poland,C3,0.39585121247060046,C5,0.07842047040320126
Portugal,C3,0.3842510256398972,C2,0.2946596254102331
Qatar,C2,0.31862635452561744,C4,0.31862635452561744
Romania,C3,0.08737576466594629,C5,-0.009386134305492542
Saudi Arabia,C1,0.3543798963332796,C3,0.33409082290683834
Serbia,C3,0.298071260375069,C5,0.1518083320509074
Singapore,C3,0.3659616045593761,C2,0.32408082235996843
Slovak Republic,C3,0.26678950680876756,C5,0.07329294850628497
Slovenia,C3,0.43966306972353786,C5,-0.21000824297549534
Spain,C3,0.20898275226782884,C5,0.004741630314762927
Sweden,C3,0.4336220988576201,C2,0.531885700892364
Switzerland,C3,0.45939528436444016,C2,0.5166715662592488
Thailand,C3,0.20602175704258222,C5,0.03840859818104336
Turkiye,C3,-0.13611054356209362,C5,-0.044354098608024146
Ukraine,C3,0.23663068209710042,C5,0.2343218001653596
United Arab Emirates,C1,0.18479923713876967,C3,0.08915264568254039
United Kingdom*,C3,0.4280416756378471,C2,0.45928858319995214
United States*,C3,0.38027579653903415,C5,0.03421034377731248
Uruguay,C3,0.181410950679084,C5,0.1510236871996615
Uzbekistan,C1,0.2220229700569475,C3,0.19477015981932047
Vietnam,C3,-0.1255777911815529,C5,-0.07473624146473355
